pedido|area_operativa|subz|ruta|municipio|contrato|acta|actividad|fecha_estado|pagina|urbrur|tipre|red_interna|tipo_operacion|descent|tipo|cobro|suminis|item_cont|item_res|cantidad|vlr_cliente|valor_costo|tipo_item
23087250|SUR-ENE|ORI|376|La Ceja|CW352017|1|VITEC|29-SEP-25|190375100677800304|U|||REG||CON|SI||F01U|F01U|1|176616|72131.84|
23065685|SUR-ENE|MET|266|Envigado|CW352017||LEGME|30-OCT-25|023218007002009409|U|||MET||SUM|NO|219404A||219404A|3|0|1200|
23065685|SUR-ENE|MET|266|Envigado|CW352017||LEGME|30-OCT-25|023218007002009409|U|||MET||SUM|NO|215887A||215887A|2|0|2068|
23065685|SUR-ENE|MET|266|Envigado|CW352017||LEGME|30-OCT-25|023218007002009409|U|||MET||CON|SI||C01U|C01U|1|141043|70763.95|
23306810|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|03-OCT-25|023219204551280108|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23306810|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|03-OCT-25|023219204551280108|U|||MET||SUM|NO|215887A||215887A|1|0|1034|
23306810|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|03-OCT-25|023219204551280108|U|||MET||CON|SI||C01U|C01U|1|141043|70763.95|
23403502|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|08-OCT-25|023217207000210306|U|||MET||SUM|SI|REVMD||REVMD|1|141043|0|
23403502|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|08-OCT-25|023217207000210306|U|||MET||SUM|SI|CALPRO01||CALPRO01|1|81688|119300|
23403502|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|08-OCT-25|023217207000210306|U|||MET||SUM|NO|219404A||219404A|4|0|1600|
23403502|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|08-OCT-25|023217207000210306|U|||MET||SUM|NO|229551A||229551A|1|0|867749|
23403502|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|08-OCT-25|023217207000210306|U|||MET||SUM|NO|SIMCARD||SIMCARD|1|0|0|
23403502|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|08-OCT-25|023217207000210306|U|||MET||CON|NO||C09U||1|0|92857.96|
23387963|SUR-ENE|MET|266|Envigado|CW352017||ALECA|24-OCT-25|024224500001100155|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23387963|SUR-ENE|MET|266|Envigado|CW352017||ALECA|24-OCT-25|024224500001100155|U|||MET||SUM|NO|215887A||215887A|1|0|1034|
23387963|SUR-ENE|MET|266|Envigado|CW352017||ALECA|24-OCT-25|024224500001100155|U|||MET||CON|SI||C05U|C05U|1|141043|68727.23|
23426306|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|03-OCT-25|125004720000000101|R|||MET||SUM|NO|219404A||219404A|1|0|400|
23426306|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|03-OCT-25|125004720000000101|R|||MET||SUM|NO|215887A||215887A|1|0|1034|
23426306|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|03-OCT-25|125004720000000101|R|||MET||CON|SI||C01R|C01R|1|141043|87682.12|
23527520|SUR-ENE|MET|266|Envigado|CW352017||ALECA|09-OCT-25|125004780000000004|R|||MET||SUM|NO|219404A||219404A|1|0|400|
23527520|SUR-ENE|MET|266|Envigado|CW352017||ALECA|09-OCT-25|125004780000000004|R|||MET||SUM|NO|215887A||215887A|1|0|1034|
23527520|SUR-ENE|MET|266|Envigado|CW352017||ALECA|09-OCT-25|125004780000000004|R|||MET||CON|SI||C05R|C05R|1|141043|78499.3|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||SUM|SI|CALE1F||CALE1F|1|10520|9600|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||SUM|SI|200093||200093|1|68590|41050.5|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||SUM|SI|200316||200316|1|9869|2196.32|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||SUM|SI|210954||210954|1|41603|34173|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||SUM|SI|211357||211357|1|36933|33411|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||SUM|SI|211829||211829|1|52608|43582.32|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||SUM|SI|213333||213333|1|8455|5621.47|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||SUM|SI|215887||215887|1|1204|1134.85|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||SUM|SI|219404||219404|1|414|400|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||SUM|SI|323739||323739|14|159600|70112|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||CON|SI||A02U|A02U|1|108551|63259.22|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||CON|SI||A05U|A05U|1|157300|93298.96|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||CON|SI||A10U|A10U|1|121630|61578.18|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||CON|SI||A12U|A12U|1|101129|49147.78|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||CON|SI||A17U|A17U|1|15116|6739.77|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||CON|SI||A18U|A18U|1|134740|63771.74|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||CON|SI||A19U|A19U|1|62930|30605.04|
23515635|SUR-ENE|MET|266|Envigado|CW352017||AEJDO|01-OCT-25|024224600001890201|U||N|MET||CON|SI||A23U|A23U|1|119418|63242.5|
23503634|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|30-SEP-25|023421008000430603|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23503634|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|30-SEP-25|023421008000430603|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23503636|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|30-SEP-25|023421008000430504|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23503636|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|30-SEP-25|023421008000430504|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23503637|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|30-SEP-25|023421008000430407|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23503637|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|30-SEP-25|023421008000430407|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23503638|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|30-SEP-25|023421008000430405|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23503638|SUR-ENE|MET|266|Envigado|CW352017||ALEGN|30-SEP-25|023421008000430405|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
