pedido|area_operativa|subz|ruta|municipio|contrato|acta|actividad|fecha_estado|pagina|urbrur|tipre|red_interna|tipo_operacion|descent|tipo|cobro|suminis|item_cont|item_res|cantidad|vlr_cliente|valor_costo|tipo_item
22671839|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|2025/10/06 10:17:49|050323005701030201|U|||MET||SUM|NO|219404A||219404A|1|0|400|
22941179|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|2025/10/06 10:17:49|050323005701030201|U|||MET||SUM|NO|215887A||215887A|2|0|2068|
22715261|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|2025/10/06 10:17:49|050323005701030201|U|||MET||CON|SI||C02U|C02U|1|141043|43919.5|
22765534|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|2025/10/06 10:20:36|050323005701030202|U|||MET||SUM|NO|219404A||219404A|1|0|400|
22765534|SUR-ENE|MET|05|Medellín|CW352017||ALEGA|2025/10/06 10:20:36|050323005701030202|U|||MET||CON|SI||C02U|C02U|1|141043|43919.5|
22981196|SUR-ENE|MET|05|Medellín|CW352017|1|ALEGA|2025/09/20 13:48:42|086213002000080303|U|||MET||SUM|NO|219404A||219404A|1|0|400|
22981196|SUR-ENE|MET|05|Medellín|CW352017|1|ALEGA|2025/09/20 13:48:42|086213002000080303|U|||MET||SUM|NO|215887A||215887A|1|0|1034|
22981196|SUR-ENE|MET|05|Medellín|CW352017|1|ALEGA|2025/09/20 13:48:42|086213002000080303|U|||MET||CON|SI||C01U|C01U|1|141043|70763.95|
23029821|SUR-ENE|MET|380|La Estrella|CW352017||ALEGA|2025/10/15 10:29:36|159080348000000201|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23029821|SUR-ENE|MET|380|La Estrella|CW352017||ALEGA|2025/10/15 10:29:36|159080348000000201|U|||MET||SUM|NO|215887A||215887A|1|0|1034|
23029821|SUR-ENE|MET|380|La Estrella|CW352017||ALEGA|2025/10/15 10:29:36|159080348000000201|U|||MET||CON|SI||C01U|C01U|1|141043|70763.95|
23065685|SUR-ENE|MET|266|Envigado|CW352017||LEGME|2025/10/30 07:53:54|023218007002009409|U|||MET||SUM|NO|219404A||219404A|3|0|1200|
23065685|SUR-ENE|MET|266|Envigado|CW352017||LEGME|2025/10/30 07:53:54|023218007002009409|U|||MET||SUM|NO|215887A||215887A|2|0|2068|
23065685|SUR-ENE|MET|266|Envigado|CW352017||LEGME|2025/10/30 07:53:54|023218007002009409|U|||MET||CON|SI||C01U|C01U|1|141043|70763.95|
23116348|SUR-ENE|MET|05|Medellín|CW352017|1|DSPRE|2025/09/26 08:45:08|055918127110190351|U|ENEPRE||MET||SUM|NO|200098||200098|1|0|172852.32|
23116348|SUR-ENE|MET|05|Medellín|CW352017|1|DSPRE|2025/09/26 08:45:08|055918127110190351|U|ENEPRE||MET||SUM|SI|200410||200410|1|0|12222.9|
23116348|SUR-ENE|MET|05|Medellín|CW352017|1|DSPRE|2025/09/26 08:45:08|055918127110190351|U|ENEPRE||MET||SUM|NO|219404||219404|1|0|400|
23116348|SUR-ENE|MET|05|Medellín|CW352017|1|DSPRE|2025/09/26 08:45:08|055918127110190351|U|ENEPRE||MET||CON|NO||A03U||1|0|35222.12|
